,question,answer
39,What are the buildings with more than 580843 of Estimated_Total_Cost?,"['LV_Incoming_TER_EM', 'Terraces - T13', 'MC Public Lighting', 'Albury-Wodonga - B3', 'Martin']"
40,What is the highest CO2_Emission_YTD?,993.36
41,What is the lowest CO2_Emission_YTD?,503.53
42,What is the sum of CO2_Emission_YTD?,70724.51000000001
43,What is the average of CO2_Emission_YTD?,760.48
44,Name the building with the highest CO2_Emission_YTD?,LV_Incoming_MIL.BGR_Main_Supply
45,Name the building with the lowest CO2_Emission_YTD?,Wildlife Reserve
46,Number of buildings more than 979 of CO2_Emission_YTD?,5
47,What are the buildings with more than 979 of CO2_Emission_YTD?,"['Mont Park', 'LV_Incoming_BEN_AS2.AS2_Main_Switch', 'LV_Incoming_WOD_SMSB.AW-1_Main_Supply', 'LV_Incoming_MIL.BGR_Main_Supply', 'SFP2']"
48,What is the highest Maximum_Peak_Energy_Consumption?,4999.4
49,What is the lowest Maximum_Peak_Energy_Consumption?,3024.44
50,What is the sum of Maximum_Peak_Energy_Consumption?,370329.6699999999
51,What is the average of Maximum_Peak_Energy_Consumption?,3982.04
52,Name the building with the highest Maximum_Peak_Energy_Consumption?,Terraces - T7
53,Name the building with the lowest Maximum_Peak_Energy_Consumption?,Albury-Wodonga - B8
54,Number of buildings more than 4938 of Maximum_Peak_Energy_Consumption?,6
55,What are the buildings with more than 4938 of Maximum_Peak_Energy_Consumption?,"['LV_Incoming_TER_EMB', 'Terraces - NR8', 'Terraces - T7', 'Health Sciences Clinic', 'John Scott Meeting House', 'Peribolos West']"
56,What is the Total_Energy_Usage_YTD of the building LV_Incoming_TER_EH1?,5285610.38
57,What is the Total_Energy_Usage_MTD of the building LV_Incoming_TER_EH1?,19720.0
58,What is the Total_Energy_Usage_WTD of the building LV_Incoming_TER_EH1?,8624.73
59,What is the Cost_Difference_with_Baseline of the building LV_Incoming_TER_EH1?,56266.43
60,What is the Estimated_Total_Cost of the building LV_Incoming_TER_EH1?,547076.66
61,What is the CO2_Emission_YTD of the building LV_Incoming_TER_EH1?,826.74
62,What is the Maximum_Peak_Energy_Consumption of the building LV_Incoming_TER_EH1?,3412.2
63,What is the Total_Energy_Usage_YTD of the building LV_Incoming_TER_EM?,3640918.23
64,What is the Total_Energy_Usage_MTD of the building LV_Incoming_TER_EM?,21372.05
65,What is the Total_Energy_Usage_WTD of the building LV_Incoming_TER_EM?,6622.18
66,What is the Cost_Difference_with_Baseline of the building LV_Incoming_TER_EM?,59056.34
67,What is the Estimated_Total_Cost of the building LV_Incoming_TER_EM?,598967.1
68,What is the CO2_Emission_YTD of the building LV_Incoming_TER_EM?,522.28
69,What is the Maximum_Peak_Energy_Consumption of the building LV_Incoming_TER_EM?,3499.99
70,What is the Total_Energy_Usage_YTD of the building LV_Incoming_TER_EMA?,6440644.15
71,What is the Total_Energy_Usage_MTD of the building LV_Incoming_TER_EMA?,22857.43
72,What is the Total_Energy_Usage_WTD of the building LV_Incoming_TER_EMA?,7052.85
73,What is the Cost_Difference_with_Baseline of the building LV_Incoming_TER_EMA?,53499.3
74,What is the Estimated_Total_Cost of the building LV_Incoming_TER_EMA?,437049.35
75,What is the CO2_Emission_YTD of the building LV_Incoming_TER_EMA?,842.93
76,What is the Maximum_Peak_Energy_Consumption of the building LV_Incoming_TER_EMA?,3567.24
77,What is the Total_Energy_Usage_YTD of the building LV_Incoming_TER_EMB?,5647385.28
78,What is the Total_Energy_Usage_MTD of the building LV_Incoming_TER_EMB?,14393.61
79,What is the Total_Energy_Usage_WTD of the building LV_Incoming_TER_EMB?,10142.7
80,What is the Cost_Difference_with_Baseline of the building LV_Incoming_TER_EMB?,59387.76
81,What is the Estimated_Total_Cost of the building LV_Incoming_TER_EMB?,483998.05
82,What is the CO2_Emission_YTD of the building LV_Incoming_TER_EMB?,522.13
83,What is the Maximum_Peak_Energy_Consumption of the building LV_Incoming_TER_EMB?,4964.83
84,What is the Total_Energy_Usage_YTD of the building LV_Incoming_TER_EMC?,3016220.58
85,What is the Total_Energy_Usage_MTD of the building LV_Incoming_TER_EMC?,14411.51
86,What is the Total_Energy_Usage_WTD of the building LV_Incoming_TER_EMC?,11528.02
87,What is the Cost_Difference_with_Baseline of the building LV_Incoming_TER_EMC?,47322.91
88,What is the Estimated_Total_Cost of the building LV_Incoming_TER_EMC?,569458.87
89,What is the CO2_Emission_YTD of the building LV_Incoming_TER_EMC?,657.18
90,What is the Maximum_Peak_Energy_Consumption of the building LV_Incoming_TER_EMC?,3605.72
91,What is the Total_Energy_Usage_YTD of the building LV_Incoming_TER_EMD?,5195928.74
92,What is the Total_Energy_Usage_MTD of the building LV_Incoming_TER_EMD?,19848.56
93,What is the Total_Energy_Usage_WTD of the building LV_Incoming_TER_EMD?,4519.95
94,What is the Cost_Difference_with_Baseline of the building LV_Incoming_TER_EMD?,56881.36
95,What is the Estimated_Total_Cost of the building LV_Incoming_TER_EMD?,346925.68
96,What is the CO2_Emission_YTD of the building LV_Incoming_TER_EMD?,612.15
97,What is the Maximum_Peak_Energy_Consumption of the building LV_Incoming_TER_EMD?,4169.09
98,What is the Total_Energy_Usage_YTD of the building LV_Incoming_TER_EME?,4651480.83
99,What is the Total_Energy_Usage_MTD of the building LV_Incoming_TER_EME?,12664.65
100,What is the Total_Energy_Usage_WTD of the building LV_Incoming_TER_EME?,7972.83
101,What is the Cost_Difference_with_Baseline of the building LV_Incoming_TER_EME?,53157.82
102,What is the Estimated_Total_Cost of the building LV_Incoming_TER_EME?,460045.12
103,What is the CO2_Emission_YTD of the building LV_Incoming_TER_EME?,927.56
104,What is the Maximum_Peak_Energy_Consumption of the building LV_Incoming_TER_EME?,4635.97
105,What is the Total_Energy_Usage_YTD of the building LV_Incoming_TER_MDB_LT_GSM?,3598752.54
106,What is the Total_Energy_Usage_MTD of the building LV_Incoming_TER_MDB_LT_GSM?,22210.24
107,What is the Total_Energy_Usage_WTD of the building LV_Incoming_TER_MDB_LT_GSM?,6993.4
108,What is the Cost_Difference_with_Baseline of the building LV_Incoming_TER_MDB_LT_GSM?,42258.31
109,What is the Estimated_Total_Cost of the building LV_Incoming_TER_MDB_LT_GSM?,532653.81
110,What is the CO2_Emission_YTD of the building LV_Incoming_TER_MDB_LT_GSM?,548.3
111,What is the Maximum_Peak_Energy_Consumption of the building LV_Incoming_TER_MDB_LT_GSM?,4202.61
112,What is the Total_Energy_Usage_YTD of the building LV_Incoming_TER_NR?,3665454.98
113,What is the Total_Energy_Usage_MTD of the building LV_Incoming_TER_NR?,26534.1
114,What is the Total_Energy_Usage_WTD of the building LV_Incoming_TER_NR?,11581.55
115,What is the Cost_Difference_with_Baseline of the building LV_Incoming_TER_NR?,48281.62
116,What is the Estimated_Total_Cost of the building LV_Incoming_TER_NR?,373644.56
117,What is the CO2_Emission_YTD of the building LV_Incoming_TER_NR?,637.35
118,What is the Maximum_Peak_Energy_Consumption of the building LV_Incoming_TER_NR?,3866.46
119,What is the Total_Energy_Usage_YTD of the building LV_Incoming_TER_NR1?,5469011.08
120,What is the Total_Energy_Usage_MTD of the building LV_Incoming_TER_NR1?,15212.29
121,What is the Total_Energy_Usage_WTD of the building LV_Incoming_TER_NR1?,4955.86
122,What is the Cost_Difference_with_Baseline of the building LV_Incoming_TER_NR1?,43298.76
123,What is the Estimated_Total_Cost of the building LV_Incoming_TER_NR1?,494617.45
124,What is the CO2_Emission_YTD of the building LV_Incoming_TER_NR1?,910.53
125,What is the Maximum_Peak_Energy_Consumption of the building LV_Incoming_TER_NR1?,3911.47
126,What is the Total_Energy_Usage_YTD of the building LV_Incoming_TER_NR2?,6110045.56
127,What is the Total_Energy_Usage_MTD of the building LV_Incoming_TER_NR2?,20642.4
128,What is the Total_Energy_Usage_WTD of the building LV_Incoming_TER_NR2?,6780.57
129,What is the Cost_Difference_with_Baseline of the building LV_Incoming_TER_NR2?,40100.17
130,What is the Estimated_Total_Cost of the building LV_Incoming_TER_NR2?,513771.96
131,What is the CO2_Emission_YTD of the building LV_Incoming_TER_NR2?,665.83
132,What is the Maximum_Peak_Energy_Consumption of the building LV_Incoming_TER_NR2?,3869.42
133,What is the Total_Energy_Usage_YTD of the building LV_Incoming_TER_NR3?,4277692.95
134,What is the Total_Energy_Usage_MTD of the building LV_Incoming_TER_NR3?,13438.65
135,What is the Total_Energy_Usage_WTD of the building LV_Incoming_TER_NR3?,7584.45
136,What is the Cost_Difference_with_Baseline of the building LV_Incoming_TER_NR3?,47811.74
137,What is the Estimated_Total_Cost of the building LV_Incoming_TER_NR3?,560863.66
138,What is the CO2_Emission_YTD of the building LV_Incoming_TER_NR3?,836.68
139,What is the Maximum_Peak_Energy_Consumption of the building LV_Incoming_TER_NR3?,4165.7
140,What is the Total_Energy_Usage_YTD of the building LV_Incoming_TER_NR4?,3965632.97
141,What is the Total_Energy_Usage_MTD of the building LV_Incoming_TER_NR4?,21456.37
142,What is the Total_Energy_Usage_WTD of the building LV_Incoming_TER_NR4?,11284.27
143,What is the Cost_Difference_with_Baseline of the building LV_Incoming_TER_NR4?,52042.1
144,What is the Estimated_Total_Cost of the building LV_Incoming_TER_NR4?,318832.09
145,What is the CO2_Emission_YTD of the building LV_Incoming_TER_NR4?,744.69
146,What is the Maximum_Peak_Energy_Consumption of the building LV_Incoming_TER_NR4?,4040.22
147,What is the Total_Energy_Usage_YTD of the building Terraces - NR6?,4845765.05
148,What is the Total_Energy_Usage_MTD of the building Terraces - NR6?,19220.34
149,What is the Total_Energy_Usage_WTD of the building Terraces - NR6?,7363.48
150,What is the Cost_Difference_with_Baseline of the building Terraces - NR6?,50773.34
151,What is the Estimated_Total_Cost of the building Terraces - NR6?,446968.73
152,What is the CO2_Emission_YTD of the building Terraces - NR6?,582.9
153,What is the Maximum_Peak_Energy_Consumption of the building Terraces - NR6?,4169.87
154,What is the Total_Energy_Usage_YTD of the building Terraces - NR7?,4765387.27
155,What is the Total_Energy_Usage_MTD of the building Terraces - NR7?,29436.21
156,What is the Total_Energy_Usage_WTD of the building Terraces - NR7?,7321.39
157,What is the Cost_Difference_with_Baseline of the building Terraces - NR7?,40056.61
158,What is the Estimated_Total_Cost of the building Terraces - NR7?,460625.54
159,What is the CO2_Emission_YTD of the building Terraces - NR7?,525.29
160,What is the Maximum_Peak_Energy_Consumption of the building Terraces - NR7?,3070.64
161,What is the Total_Energy_Usage_YTD of the building Terraces - NR8?,3370973.62
162,What is the Total_Energy_Usage_MTD of the building Terraces - NR8?,13957.62
163,What is the Total_Energy_Usage_WTD of the building Terraces - NR8?,7632.63
164,What is the Cost_Difference_with_Baseline of the building Terraces - NR8?,49701.11
165,What is the Estimated_Total_Cost of the building Terraces - NR8?,437592.09
166,What is the CO2_Emission_YTD of the building Terraces - NR8?,718.26
167,What is the Maximum_Peak_Energy_Consumption of the building Terraces - NR8?,4985.38
168,What is the Total_Energy_Usage_YTD of the building Terraces - T10?,5004448.74
169,What is the Total_Energy_Usage_MTD of the building Terraces - T10?,20047.57
170,What is the Total_Energy_Usage_WTD of the building Terraces - T10?,9809.72
171,What is the Cost_Difference_with_Baseline of the building Terraces - T10?,53957.41
172,What is the Estimated_Total_Cost of the building Terraces - T10?,426993.18
173,What is the CO2_Emission_YTD of the building Terraces - T10?,824.76
174,What is the Maximum_Peak_Energy_Consumption of the building Terraces - T10?,4795.88
175,What is the Total_Energy_Usage_YTD of the building Terraces - T11?,6638162.39
176,What is the Total_Energy_Usage_MTD of the building Terraces - T11?,14765.29
177,What is the Total_Energy_Usage_WTD of the building Terraces - T11?,5898.74
178,What is the Cost_Difference_with_Baseline of the building Terraces - T11?,53740.4
179,What is the Estimated_Total_Cost of the building Terraces - T11?,492780.07
180,What is the CO2_Emission_YTD of the building Terraces - T11?,794.26
181,What is the Maximum_Peak_Energy_Consumption of the building Terraces - T11?,4238.22
182,What is the Total_Energy_Usage_YTD of the building Terraces - T12?,6317692.78
183,What is the Total_Energy_Usage_MTD of the building Terraces - T12?,20620.97
184,What is the Total_Energy_Usage_WTD of the building Terraces - T12?,10460.71
185,What is the Cost_Difference_with_Baseline of the building Terraces - T12?,48707.13
186,What is the Estimated_Total_Cost of the building Terraces - T12?,557653.67
187,What is the CO2_Emission_YTD of the building Terraces - T12?,859.12
188,What is the Maximum_Peak_Energy_Consumption of the building Terraces - T12?,4924.71
189,What is the Total_Energy_Usage_YTD of the building Terraces - T13?,6554725.98
190,What is the Total_Energy_Usage_MTD of the building Terraces - T13?,12832.25
191,What is the Total_Energy_Usage_WTD of the building Terraces - T13?,11304.79
192,What is the Cost_Difference_with_Baseline of the building Terraces - T13?,59247.58
193,What is the Estimated_Total_Cost of the building Terraces - T13?,594395.81
194,What is the CO2_Emission_YTD of the building Terraces - T13?,642.74
195,What is the Maximum_Peak_Energy_Consumption of the building Terraces - T13?,4533.68
196,What is the Total_Energy_Usage_YTD of the building Terraces - T14?,5680005.27
197,What is the Total_Energy_Usage_MTD of the building Terraces - T14?,14542.92
198,What is the Total_Energy_Usage_WTD of the building Terraces - T14?,8761.06
199,What is the Cost_Difference_with_Baseline of the building Terraces - T14?,43839.47
200,What is the Estimated_Total_Cost of the building Terraces - T14?,404960.61
201,What is the CO2_Emission_YTD of the building Terraces - T14?,539.87
202,What is the Maximum_Peak_Energy_Consumption of the building Terraces - T14?,4839.16
203,What is the Total_Energy_Usage_YTD of the building Terraces - T7?,3778625.26
204,What is the Total_Energy_Usage_MTD of the building Terraces - T7?,15738.65
205,What is the Total_Energy_Usage_WTD of the building Terraces - T7?,4768.01
206,What is the Cost_Difference_with_Baseline of the building Terraces - T7?,57750.68
207,What is the Estimated_Total_Cost of the building Terraces - T7?,439127.99
208,What is the CO2_Emission_YTD of the building Terraces - T7?,871.85
209,What is the Maximum_Peak_Energy_Consumption of the building Terraces - T7?,4999.4
210,What is the Total_Energy_Usage_YTD of the building Terraces - T8?,5780947.17
211,What is the Total_Energy_Usage_MTD of the building Terraces - T8?,21404.18
212,What is the Total_Energy_Usage_WTD of the building Terraces - T8?,7387.89
213,What is the Cost_Difference_with_Baseline of the building Terraces - T8?,51110.4
214,What is the Estimated_Total_Cost of the building Terraces - T8?,379766.95
215,What is the CO2_Emission_YTD of the building Terraces - T8?,682.16
216,What is the Maximum_Peak_Energy_Consumption of the building Terraces - T8?,4328.15
217,What is the Total_Energy_Usage_YTD of the building Terraces - T9?,5509067.05
218,What is the Total_Energy_Usage_MTD of the building Terraces - T9?,23288.32
219,What is the Total_Energy_Usage_WTD of the building Terraces - T9?,5676.75
220,What is the Cost_Difference_with_Baseline of the building Terraces - T9?,57498.58
221,What is the Estimated_Total_Cost of the building Terraces - T9?,561401.23
222,What is the CO2_Emission_YTD of the building Terraces - T9?,826.13
223,What is the Maximum_Peak_Energy_Consumption of the building Terraces - T9?,4219.55
224,What is the Total_Energy_Usage_YTD of the building HS1 Public Lighting?,3280690.69
225,What is the Total_Energy_Usage_MTD of the building HS1 Public Lighting?,19623.33
226,What is the Total_Energy_Usage_WTD of the building HS1 Public Lighting?,4712.18
227,What is the Cost_Difference_with_Baseline of the building HS1 Public Lighting?,45093.96
228,What is the Estimated_Total_Cost of the building HS1 Public Lighting?,437062.13
229,What is the CO2_Emission_YTD of the building HS1 Public Lighting?,879.7
230,What is the Maximum_Peak_Energy_Consumption of the building HS1 Public Lighting?,3110.5
231,What is the Total_Energy_Usage_YTD of the building L Public Lighting?,5515366.16
232,What is the Total_Energy_Usage_MTD of the building L Public Lighting?,17084.72
233,What is the Total_Energy_Usage_WTD of the building L Public Lighting?,9560.55
234,What is the Cost_Difference_with_Baseline of the building L Public Lighting?,50150.59
235,What is the Estimated_Total_Cost of the building L Public Lighting?,379086.62
236,What is the CO2_Emission_YTD of the building L Public Lighting?,720.82
237,What is the Maximum_Peak_Energy_Consumption of the building L Public Lighting?,4013.01
238,What is the Total_Energy_Usage_YTD of the building ISC Public Lighting?,4366103.48
239,What is the Total_Energy_Usage_MTD of the building ISC Public Lighting?,25077.84
240,What is the Total_Energy_Usage_WTD of the building ISC Public Lighting?,7860.77
241,What is the Cost_Difference_with_Baseline of the building ISC Public Lighting?,49540.16
242,What is the Estimated_Total_Cost of the building ISC Public Lighting?,443973.41
243,What is the CO2_Emission_YTD of the building ISC Public Lighting?,844.82
244,What is the Maximum_Peak_Energy_Consumption of the building ISC Public Lighting?,3893.53
245,What is the Total_Energy_Usage_YTD of the building MC Public Lighting?,5879390.76
246,What is the Total_Energy_Usage_MTD of the building MC Public Lighting?,26419.75
247,What is the Total_Energy_Usage_WTD of the building MC Public Lighting?,7242.06
248,What is the Cost_Difference_with_Baseline of the building MC Public Lighting?,59294.52
249,What is the Estimated_Total_Cost of the building MC Public Lighting?,597704.82
250,What is the CO2_Emission_YTD of the building MC Public Lighting?,860.33
251,What is the Maximum_Peak_Energy_Consumption of the building MC Public Lighting?,4587.08
252,What is the Total_Energy_Usage_YTD of the building TC Public Lighting?,3261954.59
253,What is the Total_Energy_Usage_MTD of the building TC Public Lighting?,27251.16
254,What is the Total_Energy_Usage_WTD of the building TC Public Lighting?,10691.66
255,What is the Cost_Difference_with_Baseline of the building TC Public Lighting?,46553.31
256,What is the Estimated_Total_Cost of the building TC Public Lighting?,396629.17
257,What is the CO2_Emission_YTD of the building TC Public Lighting?,870.22
258,What is the Maximum_Peak_Energy_Consumption of the building TC Public Lighting?,3032.64
259,What is the Total_Energy_Usage_YTD of the building U Public Lighting?,5441225.15
260,What is the Total_Energy_Usage_MTD of the building U Public Lighting?,17081.8
261,What is the Total_Energy_Usage_WTD of the building U Public Lighting?,5490.92
262,What is the Cost_Difference_with_Baseline of the building U Public Lighting?,41909.06
263,What is the Estimated_Total_Cost of the building U Public Lighting?,537171.82
264,What is the CO2_Emission_YTD of the building U Public Lighting?,967.87
265,What is the Maximum_Peak_Energy_Consumption of the building U Public Lighting?,3337.06
266,What is the Total_Energy_Usage_YTD of the building Mont Park?,3879505.35
267,What is the Total_Energy_Usage_MTD of the building Mont Park?,25408.43
268,What is the Total_Energy_Usage_WTD of the building Mont Park?,11609.15
269,What is the Cost_Difference_with_Baseline of the building Mont Park?,51437.89
270,What is the Estimated_Total_Cost of the building Mont Park?,431793.8
271,What is the CO2_Emission_YTD of the building Mont Park?,987.43
272,What is the Maximum_Peak_Energy_Consumption of the building Mont Park?,3383.45
273,What is the Total_Energy_Usage_YTD of the building Agora East?,6478367.64
274,What is the Total_Energy_Usage_MTD of the building Agora East?,12288.87
275,What is the Total_Energy_Usage_WTD of the building Agora East?,5610.62
276,What is the Cost_Difference_with_Baseline of the building Agora East?,51484.82
277,What is the Estimated_Total_Cost of the building Agora East?,456845.8
278,What is the CO2_Emission_YTD of the building Agora East?,904.91
279,What is the Maximum_Peak_Energy_Consumption of the building Agora East?,4695.97
280,What is the Total_Energy_Usage_YTD of the building Animal_and_Glass Houses?,6056166.82
281,What is the Total_Energy_Usage_MTD of the building Animal_and_Glass Houses?,29185.43
282,What is the Total_Energy_Usage_WTD of the building Animal_and_Glass Houses?,6613.59
283,What is the Cost_Difference_with_Baseline of the building Animal_and_Glass Houses?,53845.66
284,What is the Estimated_Total_Cost of the building Animal_and_Glass Houses?,315041.41
285,What is the CO2_Emission_YTD of the building Animal_and_Glass Houses?,782.59
286,What is the Maximum_Peak_Energy_Consumption of the building Animal_and_Glass Houses?,3095.31
287,What is the Total_Energy_Usage_YTD of the building Agricultural Reserve?,6438945.41
288,What is the Total_Energy_Usage_MTD of the building Agricultural Reserve?,19146.51
289,What is the Total_Energy_Usage_WTD of the building Agricultural Reserve?,8809.27
290,What is the Cost_Difference_with_Baseline of the building Agricultural Reserve?,43154.71
291,What is the Estimated_Total_Cost of the building Agricultural Reserve?,481816.52
292,What is the CO2_Emission_YTD of the building Agricultural Reserve?,932.24
293,What is the Maximum_Peak_Energy_Consumption of the building Agricultural Reserve?,3342.86
294,What is the Total_Energy_Usage_YTD of the building LV_Incoming_BEN_AS2.AS1_Main_Switch?,6999351.86
295,What is the Total_Energy_Usage_MTD of the building LV_Incoming_BEN_AS2.AS1_Main_Switch?,12560.5
296,What is the Total_Energy_Usage_WTD of the building LV_Incoming_BEN_AS2.AS1_Main_Switch?,11367.86
297,What is the Cost_Difference_with_Baseline of the building LV_Incoming_BEN_AS2.AS1_Main_Switch?,46987.11
298,What is the Estimated_Total_Cost of the building LV_Incoming_BEN_AS2.AS1_Main_Switch?,419224.4
299,What is the CO2_Emission_YTD of the building LV_Incoming_BEN_AS2.AS1_Main_Switch?,788.94
300,What is the Maximum_Peak_Energy_Consumption of the building LV_Incoming_BEN_AS2.AS1_Main_Switch?,4022.24
301,What is the Total_Energy_Usage_YTD of the building LV_Incoming_BEN_AS2.AS2_Main_Switch?,4390787.54
302,What is the Total_Energy_Usage_MTD of the building LV_Incoming_BEN_AS2.AS2_Main_Switch?,14619.16
303,What is the Total_Energy_Usage_WTD of the building LV_Incoming_BEN_AS2.AS2_Main_Switch?,10924.51
304,What is the Cost_Difference_with_Baseline of the building LV_Incoming_BEN_AS2.AS2_Main_Switch?,52197.1
305,What is the Estimated_Total_Cost of the building LV_Incoming_BEN_AS2.AS2_Main_Switch?,516767.71
306,What is the CO2_Emission_YTD of the building LV_Incoming_BEN_AS2.AS2_Main_Switch?,993.01
307,What is the Maximum_Peak_Energy_Consumption of the building LV_Incoming_BEN_AS2.AS2_Main_Switch?,4412.98
308,What is the Total_Energy_Usage_YTD of the building Agora Theatre?,3700371.6
309,What is the Total_Energy_Usage_MTD of the building Agora Theatre?,26835.04
310,What is the Total_Energy_Usage_WTD of the building Agora Theatre?,10578.43
311,What is the Cost_Difference_with_Baseline of the building Agora Theatre?,51175.53
312,What is the Estimated_Total_Cost of the building Agora Theatre?,437518.53
313,What is the CO2_Emission_YTD of the building Agora Theatre?,597.17
314,What is the Maximum_Peak_Energy_Consumption of the building Agora Theatre?,3686.7
315,What is the Total_Energy_Usage_YTD of the building LV_Incoming_WOD_SMSB.AW-1_Main_Supply?,4731590.29
316,What is the Total_Energy_Usage_MTD of the building LV_Incoming_WOD_SMSB.AW-1_Main_Supply?,14746.06
317,What is the Total_Energy_Usage_WTD of the building LV_Incoming_WOD_SMSB.AW-1_Main_Supply?,11457.62
318,What is the Cost_Difference_with_Baseline of the building LV_Incoming_WOD_SMSB.AW-1_Main_Supply?,52677.63
319,What is the Estimated_Total_Cost of the building LV_Incoming_WOD_SMSB.AW-1_Main_Supply?,471003.75
320,What is the CO2_Emission_YTD of the building LV_Incoming_WOD_SMSB.AW-1_Main_Supply?,987.33
321,What is the Maximum_Peak_Energy_Consumption of the building LV_Incoming_WOD_SMSB.AW-1_Main_Supply?,3374.93
322,What is the Total_Energy_Usage_YTD of the building Albury-Wodonga - B1?,6174392.4
323,What is the Total_Energy_Usage_MTD of the building Albury-Wodonga - B1?,18483.44
324,What is the Total_Energy_Usage_WTD of the building Albury-Wodonga - B1?,7008.93
325,What is the Cost_Difference_with_Baseline of the building Albury-Wodonga - B1?,41036.75
326,What is the Estimated_Total_Cost of the building Albury-Wodonga - B1?,393292.03
327,What is the CO2_Emission_YTD of the building Albury-Wodonga - B1?,974.92
328,What is the Maximum_Peak_Energy_Consumption of the building Albury-Wodonga - B1?,3099.8
329,What is the Total_Energy_Usage_YTD of the building Albury-Wodonga - B3?,3198168.18
330,What is the Total_Energy_Usage_MTD of the building Albury-Wodonga - B3?,15181.38
331,What is the Total_Energy_Usage_WTD of the building Albury-Wodonga - B3?,9089.49
332,What is the Cost_Difference_with_Baseline of the building Albury-Wodonga - B3?,43711.54
333,What is the Estimated_Total_Cost of the building Albury-Wodonga - B3?,584215.45
334,What is the CO2_Emission_YTD of the building Albury-Wodonga - B3?,521.38
335,What is the Maximum_Peak_Energy_Consumption of the building Albury-Wodonga - B3?,3720.92
336,What is the Total_Energy_Usage_YTD of the building Albury-Wodonga - B3A?,5392238.52
337,What is the Total_Energy_Usage_MTD of the building Albury-Wodonga - B3A?,19717.84
338,What is the Total_Energy_Usage_WTD of the building Albury-Wodonga - B3A?,6762.7
339,What is the Cost_Difference_with_Baseline of the building Albury-Wodonga - B3A?,43256.19
340,What is the Estimated_Total_Cost of the building Albury-Wodonga - B3A?,421688.21
341,What is the CO2_Emission_YTD of the building Albury-Wodonga - B3A?,876.17
342,What is the Maximum_Peak_Energy_Consumption of the building Albury-Wodonga - B3A?,3389.86
343,What is the Total_Energy_Usage_YTD of the building Albury-Wodonga - B4?,4872906.77
344,What is the Total_Energy_Usage_MTD of the building Albury-Wodonga - B4?,25991.69
345,What is the Total_Energy_Usage_WTD of the building Albury-Wodonga - B4?,11029.3
346,What is the Cost_Difference_with_Baseline of the building Albury-Wodonga - B4?,57593.03
347,What is the Estimated_Total_Cost of the building Albury-Wodonga - B4?,474421.08
